,"Population, tract total","Low access, low-income population at 1/2 mile, share","Housing units, total",Low access tract at 1 mile for urban areas and 20 miles for rural areas,Low access tract at 10 miles,"Low access, low-income population at 1 mile, share",Low access tract at 1/2 mile for urban areas and 10 miles for rural areas,"Low access, population at 1 mile, share",Low access tract at 1/2 mile,"Low access, population at 1 mile, number","Low access, low-income population at 1 mile, number","Low access, population at 1/2 mile, number",Low access tract at 1 mile,"Low access, population at 1/2 mile, share",Low income tract,Low access tract at 1 mile for urban areas and 10 miles for rural areas,#N/A,Urban tract,#N/A,#N/A,"Low access, low-income population at 1/2 mile, number",Low income and low access tract measured at 1 mile for urban areas and 10 miles for rural areas,Low access tract at 20 miles,Low income and low access tract measured at 1/2 mile for urban areas and 10 miles for rural areas
,POP2010,lalowihalfshare,OHU2010,LA1and20,LATracts10,lalowi1share,LAhalfand10,lapop1share,LATracts_half,lapop1,lalowi1,lapophalf,LATracts1,lapophalfshare,LowIncomeTracts,LA1and10,GEOID10,Urban,NAME10,PLNG_REGION,lalowihalf,LILATracts_1And10,LATracts20,LILATracts_halfAnd10
759,4444,0.1470876,2135,1,0,0.00969984,1,0.180912,1,803.9729421,43.10608582,4146.726049,1,0.93310667,0,1,13089022401,1,224.01,ARC 10,653.6572791,0,0,0
760,5402,0.38819783,2500,1,0,0.14828383,1,0.30950469,1,1671.944362,801.0292312,5292.09927,1,0.97965555,1,1,13089020900,1,209,ARC 10,2097.044675,1,0,1
761,2032,0.42707945,939,0,0,0,1,0,1,0,0,1994.743287,0,0.981665,0,0,13089020700,1,207,ARC 10,867.8254372,0,0,0
762,2000,0.2351615,865,0,0,0,1,0,1,0,0,970.1230869,0,0.48506154,1,0,13089020600,1,206,ARC 10,470.3229976,0,0,1
763,2802,0.12522801,1425,0,0,0,1,0,1,0,0,1009.944762,0,0.3604371,1,0,13089020500,1,205,ARC 10,350.8888705,0,0,1
764,4575,0.25661274,1781,0,0,0,1,0,1,0,0,2219.969104,0,0.48523915,1,0,13089021410,1,214.1,ARC 10,1174.003267,0,0,1
765,7712,0.04127834,3972,0,0,0,1,0,1,0,0,1718.125061,0,0.22278593,0,0,13089021216,1,212.16,ARC 10,318.3385365,0,0,0
766,2659,0.61332508,1048,1,0,0.17482689,1,0.31146343,1,828.1812735,464.8646888,2658.999995,1,1,1,1,13089021911,1,219.11,ARC 10,1630.831386,1,0,1
767,3945,0.24175342,1730,1,0,0.09994313,1,0.38418417,1,1515.606544,394.2756476,2774.317805,1,0.70324913,1,1,13089020802,1,208.02,ARC 10,953.7172576,1,0,1
768,3280,0.04548817,1081,0,0,0,0,0,0,0,0,222.2982448,0,0.06777386,1,0,13089021416,1,214.16,ARC 10,149.2012117,0,0,0
769,5137,0.05813662,1422,0,0,0,0,0,0,0,0,456.8094246,0,0.08892533,1,0,13089021413,1,214.13,ARC 10,298.6478354,0,0,0
770,3007,0.02666804,1638,0,0,0,1,0,1,0,0,531.7942694,0,0.1768521,0,0,13089021411,1,214.11,ARC 10,80.19078683,0,0,0
771,2376,0,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,13089020400,1,204,ARC 10,0,0,0,0
772,3574,0.03735354,1518,0,0,0,1,0,1,0,0,1282.696657,0,0.35889666,0,0,13089020300,1,203,ARC 10,133.501559,0,0,0
773,1750,0.07922939,675,0,0,0,1,0,1,0,0,950.8309985,0,0.543332,0,0,13089020100,1,201,ARC 10,138.6514377,0,0,0
774,4392,0.39319758,1238,1,0,0.15312566,1,0.32113022,1,1410.403945,672.5278932,3318.264071,1,0.75552461,1,1,13089023802,1,238.02,ARC 10,1726.923776,1,0,1
775,3718,0.29603322,1554,0,0,0.00195649,1,0.00321116,1,11.93908229,7.27422461,2106.284798,0,0.56651017,1,0,13089023801,1,238.01,ARC 10,1100.65151,0,0,1
776,5854,0.33620065,2311,0,0,0.0001102,1,0.00019762,1,1.15685987,0.64509773,3415.659085,0,0.58347439,1,0,13089023700,1,237,ARC 10,1968.118597,0,0,1
777,5910,0.36551387,2096,1,0,0.11248392,1,0.32194613,1,1902.701655,664.7799905,4945.234008,1,0.83675702,1,1,13089023506,1,235.06,ARC 10,2160.186996,1,0,1
778,2761,0.45108677,994,0,0,0.03652337,1,0.06129144,1,169.2256557,100.8410283,2618.785834,0,0.94849179,1,0,13089023505,1,235.05,ARC 10,1245.450567,0,0,1
779,2841,0.18643621,1011,1,0,0.12852912,1,0.69222805,1,1966.619879,365.1512349,2840.999993,1,1,0,1,13089023427,1,234.27,ARC 10,529.665281,0,0,0
780,5087,0.31425429,1698,1,0,0.29848026,1,0.9420403,1,4792.159001,1518.369067,5087.000074,1,1.00000001,0,1,13089023424,1,234.24,ARC 10,1598.611594,0,0,0
781,5156,0.27816169,1809,1,0,0.27813625,1,0.99992737,1,5155.625513,1434.070498,5155.999985,1,1,1,1,13089023422,1,234.22,ARC 10,1434.201662,1,0,1
782,7792,0.39254354,2972,1,0,0.28544488,1,0.75178814,1,5857.933204,2224.186492,7791.999994,1,1,1,1,13089023421,1,234.21,ARC 10,3058.699265,1,0,1
784,5767,0.52356777,2011,1,0,0.479649,1,0.89993393,1,5189.918951,2766.135769,5766.999962,1,0.99999999,1,1,13089023314,1,233.14,ARC 10,3019.415327,1,0,1
